site_code,year,month,day,hour,minute,second,time,start_time,midpoint_time,time_decimal,time_interval,value,value_std_dev,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag,analysis_datetime,method,event_number,air_sample_container_id,unique_sample_location_num,obs_flag,obs_num,obspack_num,name,sector,site_name,site_country,site_elevation,dataset_project,lab_1_abbr,dataset_calibration_scale,altitude_comment,site_utc2lst,agl,type_altitude,altitude_final,id,pressure,source_id,timeUTC,timeUTC_start,timeUTC_end,dif_time,time_warning,year_end,month_end,day_end,hour_end,minute_end,second_end,local_time,lh,max_altitude
MLO,2019,12,3,20,18,0,1575404280,1575404280,1575404280,2019.9228652968,3600,1.90145e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967726,1,1329,3751529,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-03 20:18:00,2019-12-03 20:18:00,2019-12-03 21:18:00,1,all good,2019,12,3,21,18,0,2019-12-03 10:18:00,10,40
MLO,2019,12,3,20,33,0,1575405180,1575405180,1575405180,2019.92289383562,3600,1.90173e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967727,1,1330,3751530,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-03 20:33:00,2019-12-03 20:33:00,2019-12-03 21:33:00,1,all good,2019,12,3,21,33,0,2019-12-03 10:33:00,10,40
MLO,2019,12,17,20,44,0,1576615440,1576615440,1576615440,2019.96127092846,3600,1.90049e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967728,1,1331,3751531,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-17 20:44:00,2019-12-17 20:44:00,2019-12-17 21:44:00,1,all good,2019,12,17,21,44,0,2019-12-17 10:44:00,10,40
MLO,2019,12,17,21,1,0,1576616460,1576616460,1576616460,2019.96130327245,3600,1.90168e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",5967729,1,1332,3751532,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2019-12-17 21:01:00,2019-12-17 21:01:00,2019-12-17 22:01:00,1,all good,2019,12,17,22,1,0,2019-12-17 11:01:00,11,40
MLO,2020,1,2,21,35,0,1578000900,1578000900,1578000900,2020.00518935944,3600,1.90338e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915140,1,1333,3751533,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-02 21:35:00,2020-01-02 21:35:00,2020-01-02 22:35:00,1,all good,2020,1,2,22,35,0,2020-01-02 11:35:00,11,40
MLO,2020,1,2,21,50,0,1578001800,1578001800,1578001800,2020.00521782028,3600,1.90432e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915141,1,1334,3751534,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-02 21:50:00,2020-01-02 21:50:00,2020-01-02 22:50:00,1,all good,2020,1,2,22,50,0,2020-01-02 11:50:00,11,40
MLO,2020,1,14,20,11,0,1579032660,1579032660,1579032660,2020.037816864,3600,1.87876e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915142,1,1335,3751535,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-14 20:11:00,2020-01-14 20:11:00,2020-01-14 21:11:00,1,all good,2020,1,14,21,11,0,2020-01-14 10:11:00,10,40
MLO,2020,1,14,20,24,0,1579033440,1579033440,1579033440,2020.03784153005,3600,1.87756e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915143,1,1336,3751536,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-14 20:24:00,2020-01-14 20:24:00,2020-01-14 21:24:00,1,all good,2020,1,14,21,24,0,2020-01-14 10:24:00,10,40
MLO,2020,1,28,20,42,0,1580244120,1580244120,1580244120,2020.07612704918,3600,1.88595e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915144,1,1337,3751537,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-28 20:42:00,2020-01-28 20:42:00,2020-01-28 21:42:00,1,all good,2020,1,28,21,42,0,2020-01-28 10:42:00,10,40
MLO,2020,1,28,20,55,0,1580244900,1580244900,1580244900,2020.07615171524,3600,1.88642e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915145,1,1338,3751538,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-01-28 20:55:00,2020-01-28 20:55:00,2020-01-28 21:55:00,1,all good,2020,1,28,21,55,0,2020-01-28 10:55:00,10,40
MLO,2020,2,13,20,11,0,1581624660,1581624660,1581624660,2020.11978407711,3600,1.87383e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915146,1,1339,3751539,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-02-13 20:11:00,2020-02-13 20:11:00,2020-02-13 21:11:00,1,all good,2020,2,13,21,11,0,2020-02-13 10:11:00,10,40
MLO,2020,2,13,20,23,0,1581625380,1581625380,1581625380,2020.11980684578,3600,1.87385e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915147,1,1340,3751540,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-02-13 20:23:00,2020-02-13 20:23:00,2020-02-13 21:23:00,1,all good,2020,2,13,21,23,0,2020-02-13 10:23:00,10,40
MLO,2020,2,25,20,42,0,1582663320,1582663320,1582663320,2020.15262978142,3600,1.90158e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915148,1,1341,3751541,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-02-25 20:42:00,2020-02-25 20:42:00,2020-02-25 21:42:00,1,all good,2020,2,25,21,42,0,2020-02-25 10:42:00,10,40
MLO,2020,2,25,20,58,0,1582664280,1582664280,1582664280,2020.15266013965,3600,1.89966e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915149,1,1342,3751542,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-02-25 20:58:00,2020-02-25 20:58:00,2020-02-25 21:58:00,1,all good,2020,2,25,21,58,0,2020-02-25 10:58:00,10,40
MLO,2020,3,12,19,52,0,1584042720,1584042720,1584042720,2020.19625075896,3600,1.89431e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915150,1,1343,3751543,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-03-12 19:52:00,2020-03-12 19:52:00,2020-03-12 20:52:00,1,all good,2020,3,12,20,52,0,2020-03-12 09:52:00,9,40
MLO,2020,3,12,20,4,0,1584043440,1584043440,1584043440,2020.19627352763,3600,1.89677e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915151,1,1344,3751544,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-03-12 20:04:00,2020-03-12 20:04:00,2020-03-12 21:04:00,1,all good,2020,3,12,21,4,0,2020-03-12 10:04:00,10,40
MLO,2020,3,20,20,43,0,1584736980,1584736980,1584736980,2020.2182054493,3600,1.90629e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915152,1,1345,3751545,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-03-20 20:43:00,2020-03-20 20:43:00,2020-03-20 21:43:00,1,all good,2020,3,20,21,43,0,2020-03-20 10:43:00,10,40
MLO,2020,3,20,20,59,0,1584737940,1584737940,1584737940,2020.21823580753,3600,1.90277e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915153,1,1346,3751546,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-03-20 20:59:00,2020-03-20 20:59:00,2020-03-20 21:59:00,1,all good,2020,3,20,21,59,0,2020-03-20 10:59:00,10,40
MLO,2020,4,7,20,44,0,1586292240,1586292240,1586292240,2020.26738767456,3600,1.89501e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915154,1,1347,3751547,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-04-07 20:44:00,2020-04-07 20:44:00,2020-04-07 21:44:00,1,all good,2020,4,7,21,44,0,2020-04-07 10:44:00,10,40
MLO,2020,4,7,20,58,0,1586293080,1586293080,1586293080,2020.26741423801,3600,1.89662e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915155,1,1348,3751548,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-04-07 20:58:00,2020-04-07 20:58:00,2020-04-07 21:58:00,1,all good,2020,4,7,21,58,0,2020-04-07 10:58:00,10,40
MLO,2020,4,21,19,51,0,1587498660,1587498660,1587498660,2020.30553847905,3600,1.89455e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915156,1,1349,3751549,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-04-21 19:51:00,2020-04-21 19:51:00,2020-04-21 20:51:00,1,all good,2020,4,21,20,51,0,2020-04-21 09:51:00,9,40
MLO,2020,4,21,20,3,0,1587499380,1587499380,1587499380,2020.30556124772,3600,1.89626e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915157,1,1350,3751550,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-04-21 20:03:00,2020-04-21 20:03:00,2020-04-21 21:03:00,1,all good,2020,4,21,21,3,0,2020-04-21 10:03:00,10,40
MLO,2020,5,5,20,20,0,1588710000,1588710000,1588710000,2020.34384486946,3600,1.88241e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915158,1,1351,3751551,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-05 20:20:00,2020-05-05 20:20:00,2020-05-05 21:20:00,1,all good,2020,5,5,21,20,0,2020-05-05 10:20:00,10,40
MLO,2020,5,5,20,33,0,1588710780,1588710780,1588710780,2020.34386953552,3600,1.88023e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915159,1,1352,3751552,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-05 20:33:00,2020-05-05 20:33:00,2020-05-05 21:33:00,1,all good,2020,5,5,21,33,0,2020-05-05 10:33:00,10,40
MLO,2020,5,19,20,38,0,1589920680,1589920680,1589920680,2020.38213038859,3600,1.89469e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915160,1,1353,3751553,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-19 20:38:00,2020-05-19 20:38:00,2020-05-19 21:38:00,1,all good,2020,5,19,21,38,0,2020-05-19 10:38:00,10,40
MLO,2020,5,19,20,51,0,1589921460,1589921460,1589921460,2020.38215505464,3600,1.89514e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915161,1,1354,3751554,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-19 20:51:00,2020-05-19 20:51:00,2020-05-19 21:51:00,1,all good,2020,5,19,21,51,0,2020-05-19 10:51:00,10,40
MLO,2020,6,2,20,19,0,1591129140,1591129140,1591129140,2020.42034570431,3600,1.88376e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915162,1,1355,3751555,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-02 20:19:00,2020-06-02 20:19:00,2020-06-02 21:19:00,1,all good,2020,6,2,21,19,0,2020-06-02 10:19:00,10,40
MLO,2020,6,2,20,31,0,1591129860,1591129860,1591129860,2020.42036847298,3600,1.88981e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915163,1,1356,3751556,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-02 20:31:00,2020-06-02 20:31:00,2020-06-02 21:31:00,1,all good,2020,6,2,21,31,0,2020-06-02 10:31:00,10,40
